"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2018,9,119542721
2018,8,119543023
2018,9,119543037
2018,6,119543080
2018,6,119543125
2018,6,119543124
2018,6,119543185
2018,6,119543188
2018,6,119543425
2018,6,119544028
2018,6,119544029
2018,9,119544192
2018,9,119544287
2018,6,119544305
2018,9,119544422
2018,8,137877856
2018,9,137877853
2018,9,137877871
2018,9,137881639
2018,3,137881707
2018,6,137881728
2018,9,137881752
2018,6,137881754
2018,9,137875758
2018,6,137875757
2018,9,137877989
2018,6,137877992
2018,6,137881772
2018,6,124797039
2018,9,124785289
2018,9,124797063
2018,6,124795127
2018,6,124785303
2018,9,124785312
2018,9,124795147
2018,9,124785324
2018,9,124800332
2018,9,124800385
2018,6,124795224
2018,6,124797172
2018,9,124795279
2018,9,124797242
2018,3,124805349
2018,9,124805347
2018,9,124797311
2018,6,124800598
2018,6,124800596
2018,8,124797396
2018,6,124805436
2018,6,124805437
2018,6,124800997
2018,6,124801031
2018,6,124801195
2018,9,123975941
2018,9,123971280
2018,6,123976031
2018,6,123976032
2018,9,123969869
2018,9,123976062
2018,6,123971390
2018,6,123971391
2018,3,123971445
2018,9,123976163
2018,9,123969989
2018,9,123976213
2018,8,123970045
2018,8,123970044
2018,9,123971810
2018,6,123971879
2018,1,123971889
2018,6,123980548
2018,6,123972369
2018,6,124795118
2018,6,124797070
2018,6,124797069
2018,9,124797078
2018,6,124795181
2018,6,124795183
2018,9,124795200
2018,9,124797163
2018,6,124800425
2018,6,124800424
2018,6,124795311
2018,6,124795310
2018,9,124805359
2018,6,124805382
2018,9,124797398
2018,6,124800704
2018,6,124801026
2018,9,124801104
2018,9,124805681
2018,6,124795126
2018,6,124797065
2018,9,124785309
2018,6,124795153
2018,9,124797150
2018,6,124800380
2018,6,124797212
2018,6,124800420
2018,8,124795262
2018,6,124797244
2018,6,124797259
2018,6,124797258
2018,1,124797281
2018,8,124805338
2018,6,124797357
2018,6,124800662
2018,6,124805590
2018,6,124801033
2018,9,124797703
2018,6,124801138
2018,6,124805684
2018,9,124797076
2018,9,124797090
2018,6,124800369
2018,9,124797188
2018,6,124800417
2018,6,124795267
2018,9,124800464
2018,9,124797267
2018,8,124800522
2018,9,124800609
2018,9,124785291
2018,6,124797085
2018,8,124797127
2018,9,124797138
2018,6,124797196
2018,6,124800414
2018,6,124800415
2018,2,124795268
2018,8,124800497
2018,9,124795322
2018,8,124797273
2018,6,124797285
2018,6,124800514
2018,9,124797307
2018,3,124797377
2018,6,124800643
2018,8,124797451
2018,3,124797654
2018,6,124805627
2018,9,124801097
2018,6,124801189
2018,9,124797038
2018,9,124797109
2018,9,124795203
2018,6,124800408
2018,6,124795242
2018,6,124795284
2018,6,124795283
2018,9,124795292
2018,3,124797268
2018,6,124797295
2018,9,124805385
2018,9,124797391
2018,9,124805426
2018,9,124805429
2018,6,124800841
2018,6,124805528
2018,8,124805540
2018,8,124797610
2018,8,124797612
2018,6,130261809
