"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2018,106904264,94739648,1,5,40,"M",1,,40,0
2018,106905113,94740390,1,5,45,"M",1,2,45,0
2018,106905347,94740583,1,5,42,"M",2,2,42,0
2018,106905416,94740656,1,5,16,"M",1,2,16,0
2018,106906808,94741819,1,5,18,"M",1,2,18,0
2018,106906822,94741843,0,,,"",,,,
2018,106906829,94741870,1,5,21,"M",1,2,21,0
2018,106906941,94741930,4,5,16,"M",1,2,16,0
2018,106906930,94741930,1,5,16,"M",1,2,16,0
2018,106906933,94741930,2,5,15,"M",2,2,15,0
2018,106906938,94741930,3,5,16,"M",1,2,16,0
2018,107768647,95492284,0,,,"",,,,
2018,107768670,95492305,1,5,16,"M",2,2,16,0
2018,107768714,95492347,1,5,26,"M",1,2,26,0
2018,107768715,95492349,1,5,33,"M",1,2,33,0
2018,107768717,95492349,2,5,38,"M",1,2,38,0
2018,107768806,95492420,1,5,25,"F",1,2,25,0
2018,107768817,95492436,1,5,25,"M",1,2,20,30
2018,107768848,95492463,1,5,28,"M",1,2,28,0
2018,107768851,95492474,1,5,26,"M",1,2,26,0
2018,107768854,95492474,2,5,24,"F",1,2,24,0
2018,107768879,95492499,0,,,"",,,,
2018,107768864,95492480,1,5,22,"M",1,2,22,0
2018,107768908,95492526,1,5,25,"F",1,2,25,0
2018,107769055,95492640,0,,,"",,,,
2018,107769110,95492680,1,5,34,"M",1,2,34,0
2018,107769121,95492698,1,5,41,"M",1,2,41,0
2018,107769141,95492714,0,,,"",,,,
2018,107769166,95492738,1,5,18,"M",1,2,18,0
2018,107769280,95492821,1,5,48,"M",1,2,48,0
2018,107769329,95492865,0,,,"",,,,
2018,107769496,95492998,1,5,35,"M",1,2,35,0
2018,107769537,95493028,1,5,54,"M",1,2,54,0
2018,107769582,95493067,1,5,26,"F",2,2,26,0
2018,107769593,95493074,1,5,23,"M",2,2,23,0
2018,107769878,95493285,1,5,43,"M",0,3,43,0
2018,107769964,95493350,0,,,"",,,,
2018,107768814,95492437,1,5,57,"M",1,2,57,0
2018,107768818,95492441,0,,,"",,,,
2018,107768868,95492482,1,5,23,"M",1,2,23,0
2018,107769066,95492658,0,,,"",,,,
2018,107769115,95492691,0,,,"",,,,
2018,107769287,95492822,1,5,26,"M",1,2,26,0
2018,107769571,95493058,1,5,21,"M",1,1,21,0
2018,107769600,95493082,0,,,"",,,,
2018,107771608,95494742,1,5,43,"F",1,2,43,0
2018,107773075,95495964,0,,,"",,,,
2018,107773102,95495975,1,5,38,"F",3,2,38,0
2018,107773132,95496003,0,,,"",,,,
2018,107775152,95497585,1,5,14,"F",0,3,14,0
2018,106904769,94740081,1,5,22,"M",1,2,22,0
2018,106904891,94740201,1,5,30,"M",1,2,30,0
2018,106904978,94740276,1,5,36,"M",2,2,36,0
2018,106905329,94740571,2,5,16,"M",1,2,16,0
2018,106905328,94740571,1,5,15,"M",2,2,15,0
2018,106905617,94740831,1,5,37,"M",1,2,37,0
2018,106906791,94741808,1,5,25,"M",1,,25,0
2018,106906823,94741840,1,5,21,"M",1,2,21,0
2018,106906956,94741932,0,,,"",,,,
2018,106907093,94742047,0,,,"",,,,
2018,106907363,94742283,1,5,17,"M",1,1,17,0
2018,106907364,94742283,2,5,16,"M",1,1,16,0
2018,106907416,94742331,2,5,27,"M",1,1,27,0
2018,106907413,94742331,1,5,28,"M",4,2,28,0
2018,107768737,95492359,1,5,48,"F",1,2,48,0
2018,107768862,95492478,1,5,15,"M",1,,15,0
2018,107768900,95492514,1,5,27,"M",1,2,27,0
2018,107769003,95492599,1,5,25,"M",1,2,25,0
2018,107769059,95492647,0,,,"",,,,
2018,107769154,95492727,0,,,"",,,,
2018,107769302,95492845,0,,,"",,,,
2018,107769362,95492908,1,5,18,"M",3,2,18,0
2018,107769374,95492920,0,,,"",,,,
2018,107769417,95492934,1,5,49,"M",1,2,49,0
2018,107769478,95492983,0,,,"",,,,
2018,107769599,95493079,2,5,24,"M",1,1,24,0
2018,107769598,95493079,1,5,29,"F",1,3,29,0
2018,107769616,95493091,1,5,23,"M",1,1,23,0
2018,107771673,95494798,0,,,"",,,,
2018,107771734,95494850,0,,,"",,,,
2018,107773082,95495970,0,,,"",,,,
2018,109063251,96613647,0,,,"",,,,
2018,109063249,96613653,0,,,"",,,,
2018,106910621,94745212,1,5,14,"F",0,3,14,0
2018,109447133,96944742,1,5,17,"M",1,2,17,0
2018,109447207,96944810,0,,,"",,,,
2018,109447229,96944821,0,,,"",,,,
2018,109447268,96944858,0,,,"",,,,
2018,109447281,96944875,1,5,62,"M",1,2,62,0
2018,109447322,96944901,0,,,"",,,,
2018,109447444,96944994,0,,,"",,,,
2018,109447460,96945016,1,5,33,"M",1,2,33,0
2018,109447520,96945060,1,5,25,"M",1,2,25,0
2018,109447698,96945192,1,5,25,"M",0,2,25,0
2018,109447762,96945238,1,5,22,"M",1,2,22,0
2018,109447763,96945238,2,5,19,"M",2,2,19,0
2018,109447778,96945253,2,5,18,"M",1,2,18,0
2018,109447780,96945253,3,5,17,"F",1,2,17,0
2018,109447775,96945253,1,5,17,"F",1,2,17,0
2018,109447825,96945293,1,5,23,"M",2,2,23,0
2018,109448097,96945519,1,5,22,"M",1,2,22,0
2018,109448117,96945545,3,5,17,"M",1,2,17,0
2018,109448222,96945618,0,,,"",,,,
2018,109448257,96945647,0,,,"",,,,
2018,109448315,96945702,0,,,"",,,,
2018,109448365,96945747,1,5,17,"F",1,2,17,0
2018,109448366,96945747,2,5,18,"M",1,2,18,0
2018,109448414,96945791,0,,,"",,,,
2018,109448446,96945818,0,,,"",,,,
2018,109448456,96945823,0,,,"",,,,
2018,109448483,96945851,0,,,"",,,,
2018,109448513,96945879,1,5,34,"F",1,2,34,0
2018,109448514,96945879,2,5,26,"F",1,2,26,0
2018,109448533,96945898,0,,,"",,,,
2018,107768691,95492329,1,5,18,"F",1,2,18,0
2018,107768688,95492332,1,5,19,"F",1,2,19,0
2018,107768692,95492332,2,5,42,"F",1,2,42,0
2018,107768662,95492302,0,,,"",,,,
2018,107768709,95492361,1,5,36,"M",1,2,36,0
2018,107768809,95492434,0,,,"",,,,
2018,107768845,95492466,1,5,24,"M",1,2,24,0
2018,107768877,95492503,0,,,"",,,,
2018,107768988,95492593,2,5,18,"M",2,2,18,0
2018,107768987,95492593,1,5,24,"M",2,2,24,0
2018,107769108,95492692,1,5,29,"M",1,2,29,0
2018,107769134,95492707,0,,,"",,,,
2018,107769219,95492783,1,5,24,"F",2,2,24,0
2018,107769308,95492854,1,5,38,"F",1,2,38,0
2018,107769430,95492941,0,,,"",,,,
2018,107769491,95492993,0,,,"",,,,
2018,107769539,95493032,0,,,"",,,,
2018,107769568,95493053,1,5,21,"M",2,2,21,0
2018,107769928,95493327,0,,,"",,,,
2018,107771610,95494743,0,,,"",,,,
2018,107771703,95494817,1,4,,"U",0,3,,
2018,107771749,95494862,0,,,"",,,,
2018,107771797,95494898,1,5,47,"M",1,2,47,0
2018,107773099,95495973,1,5,38,"M",0,3,38,0
2018,107773121,95495989,0,,,"",,,,
2018,107773119,95495990,0,,,"",,,,
2018,107773144,95496011,1,5,38,"M",0,3,38,0
2018,107773149,95496014,1,5,31,"M",1,2,31,0
2018,107775156,95497589,0,,,"",,,,
2018,107768846,95492476,1,5,21,"M",1,1,21,0
2018,107768852,95492476,2,5,23,"M",1,1,23,0
2018,107769070,95492657,1,5,21,"F",1,2,21,0
2018,107769119,95492693,0,,,"",,,,
2018,107769153,95492726,0,,,"",,,,
2018,107769345,95492877,1,5,48,"M",0,3,48,0
2018,107769421,95492939,0,,,"",,,,
2018,107769583,95493069,1,5,25,"F",1,2,25,0
2018,107769631,95493101,0,,,"",,,,
2018,107770006,95493384,1,5,24,"M",1,2,24,0
2018,107773054,95495942,0,,,"",,,,
2018,107773139,95496007,2,5,36,"M",3,2,36,0
2018,107773138,95496007,1,5,24,"F",0,3,24,0
2018,107773159,95496020,0,,,"",,,,
2018,107773182,95496033,8,5,39,"M",3,2,39,0
2018,107773177,95496033,4,5,29,"M",0,3,29,0
2018,107773179,95496033,6,5,31,"M",0,3,31,0
2018,107773175,95496033,2,5,29,"F",3,2,29,0
2018,107773180,95496033,7,5,33,"F",0,3,33,0
2018,107773173,95496033,1,5,35,"F",3,2,35,0
2018,107773176,95496033,3,5,30,"F",3,2,30,0
2018,107773178,95496033,5,5,26,"M",0,3,26,0
2018,109063289,96613701,4,5,21,"F",1,,21,0
2018,109063300,96613701,7,5,18,"M",1,,18,0
2018,109063288,96613701,3,5,19,"M",1,,19,0
2018,109063282,96613701,1,5,19,"M",1,,19,0
2018,109063286,96613701,2,5,17,"M",1,,17,0
2018,109063295,96613701,6,5,18,"F",1,,18,0
2018,109063302,96613701,8,5,15,"F",1,,15,0
2018,109063293,96613701,5,5,21,"F",1,2,21,0
2018,109063329,96613728,1,5,52,"M",1,2,52,0
2018,109063378,96613774,0,,,"",,,,
2018,109063377,96613787,1,5,32,"M",1,2,32,0
2018,109063428,96613818,1,5,35,"F",1,2,35,0
2018,109063527,96613898,0,,,"",,,,
2018,109063437,96613826,1,5,41,"M",1,2,41,0
2018,109063515,96613892,0,,,"",,,,
2018,109063727,96614079,1,5,18,"F",2,2,18,0
2018,109063747,96614097,0,,,"",,,,
2018,109063851,96614197,1,5,34,"F",0,3,34,0
2018,109063975,96614308,0,,,"",,,,
2018,109064008,96614340,1,5,44,"M",2,2,44,0
2018,106910629,94745217,1,5,29,"M",3,3,29,0
2018,107768748,95492376,1,5,16,"M",1,,16,0
2018,107768853,95492477,1,5,19,"M",1,2,19,0
2018,107769114,95492689,0,,,"",,,,
2018,107769139,95492706,1,5,39,"M",1,2,39,0
2018,107769237,95492795,0,,,"",,,,
2018,107769422,95492935,0,,,"",,,,
2018,107769498,95493000,1,5,17,"M",1,2,17,0
2018,107769531,95493031,0,,,"",,,,
2018,107769590,95493078,1,5,26,"M",1,2,26,0
2018,106904777,94740098,1,5,52,"M",1,2,52,0
2018,106905618,94740836,0,,,"",,,,
2018,107771727,95494838,1,5,23,"M",1,2,23,0
2018,107773107,95495981,0,,,"",,,,
2018,109063511,96613893,0,,,"",,,,
2018,109063631,96613990,1,5,53,"M",1,,53,0
2018,109063646,96614023,1,5,16,"M",3,2,16,0
2018,109063700,96614056,1,5,34,"M",1,2,34,0
2018,109063702,96614056,2,5,36,"M",1,2,36,0
2018,109063841,96614187,0,,,"",,,,
2018,109063898,96614232,0,,,"",,,,
2018,109063909,96614247,1,5,43,"U",0,3,43,0
2018,109063967,96614296,0,,,"",,,,
2018,109064072,96614391,1,5,72,"M",0,3,72,0
2018,106904252,94739643,0,,,"",,,,
2018,106904885,94740200,1,5,26,"M",1,2,26,0
2018,106904989,94740279,1,5,14,"F",1,2,14,0
2018,106905088,94740369,1,5,31,"M",1,,31,0
2018,106905415,94740653,0,,,"",,,,
2018,106905613,94740835,0,,,"",,,,
2018,106905652,94740867,0,,,"",,,,
2018,106907402,94742326,2,5,30,"M",2,3,30,0
2018,106907400,94742326,1,5,38,"M",2,2,38,0
2018,106907449,94742359,1,5,40,"M",2,2,40,0
2018,107768671,95492310,0,,,"",,,,
2018,107768710,95492341,1,5,57,"M",1,2,57,0
2018,107769629,95493104,0,,,"",,,,
2018,107770015,95493392,1,5,27,"M",1,2,27,0
2018,107771641,95494769,1,5,20,"M",1,1,20,0
2018,107771721,95494847,1,5,24,"F",1,2,24,0
2018,107771786,95494890,1,5,37,"F",1,2,37,0
2018,107773125,95496002,0,,,"",,,,
2018,107775114,95497556,1,5,36,"F",3,2,36,0
2018,107775147,95497581,1,5,24,"M",3,2,24,0
2018,108480618,96108235,1,5,18,"M",1,2,18,0
2018,108480620,96108235,2,5,39,"M",1,2,39,0
2018,108480725,96108293,0,,,"",,,,
2018,108480745,96108308,0,,,"",,,,
2018,108481101,96108614,1,5,36,"M",1,1,36,0
2018,108481160,96108663,1,5,15,"M",1,2,15,0
2018,108481250,96108743,0,,,"",,,,
2018,108481254,96108753,1,5,32,"F",1,1,32,0
2018,108481365,96108858,1,5,61,"M",1,2,61,0
2018,108481478,96108934,1,5,29,"M",1,2,29,0
