"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2018,141232350,116298684,49,"C",20,,"F"
2018,142405851,117310335,36,"C",4,,""
2018,141233763,116299949,16,"C",20,,""
2018,141374753,116399342,51,"C",20,,""
2018,141424865,116439906,8,"C",20,,""
2018,141441274,116451190,45,"C",18,,""
2018,141279143,116341616,49,"C",20,,"F"
2018,141233087,116299338,45,"C",25,,""
2018,142549407,117437221,47,"C",18,,""
2018,141436228,116446141,41,"C",5,,""
2018,141436227,116446141,37,"C",5,,""
2018,141390410,116413931,16,"C",13,,""
2018,141480527,116516103,51,"C",41,,""
2018,141436230,116446142,16,"C",20,,""
2018,141436231,116446142,35,"C",20,,""
2018,141436229,116446142,51,"C",20,,""
2018,141279142,116341615,51,"C",20,,""
2018,139160821,113977597,56,"C",20,,""
2018,119542663,96613664,51,"C",20,,""
2018,119542718,96613716,51,"C",13,,""
2018,119542757,96613759,16,"C",7,,""
2018,119542868,96613839,27,"C",13,,""
2018,119543049,96614000,51,"C",20,,""
2018,119543197,96614126,51,"C",20,,""
2018,119543254,96614179,45,"C",19,,""
2018,119543406,96614313,51,"C",3,,""
2018,119543402,96614313,27,"C",3,,""
2018,119543431,96614336,11,"C",13,,""
2018,119544194,96615036,14,"C",18,,""
2018,119544220,96615060,45,"A",13,,""
2018,119544229,96615070,5,"C",18,,""
2018,119544353,96615180,44,"C",20,,""
2018,119544529,96615351,5,"C",20,,""
2018,119544698,96615488,44,"C",20,,""
2018,119544908,96615668,16,"C",20,,""
2018,119545058,96615808,41,"C",8,,""
2018,119542664,96613672,49,"C",7,,"N"
2018,119542714,96613715,5,"C",20,,""
2018,119542751,96613748,45,"C",20,,""
2018,119542787,96613777,44,"C",20,,""
2018,119542946,96613908,45,"C",23,,""
2018,119542978,96613938,51,"C",20,,""
2018,119543163,96614107,16,"C",13,,""
2018,119543158,96614107,35,"C",13,,""
2018,119543326,96614243,49,"C",19,6,"F"
2018,119543392,96614299,2,"C",7,,""
2018,119543435,96614341,5,"C",18,,""
2018,119543458,96614360,5,"C",20,,""
2018,119543487,96614395,16,"C",13,,""
2018,119543490,96614395,35,"C",13,,""
2018,119544019,96614884,5,"C",20,,""
2018,119544129,96614975,2,"A",11,,""
2018,119544183,96615029,49,"C",20,,"N"
2018,119544510,96615324,5,"C",20,,""
2018,119544936,96615690,49,"C",20,,"N"
2018,119545008,96615765,63,"C",25,,""
2018,119545038,96615793,45,"C",25,,""
2018,119545056,96615811,5,"C",20,,""
2018,119931753,96946378,5,"C",13,,""
2018,119931858,96946465,45,"C",45,,""
2018,119931962,96946560,27,"C",20,,""
2018,119931992,96946586,47,"C",20,,""
2018,119932036,96946621,47,"C",19,,""
2018,119932104,96946688,45,"C",23,,""
2018,119932135,96946712,23,"C",8,,""
2018,119932197,96946765,2,"C",20,,""
2018,119932333,96946876,23,"C",8,,""
2018,119932358,96946897,23,"C",12,,""
2018,119932419,96946950,5,"C",20,,""
2018,119932423,96946955,51,"C",20,,""
2018,119932516,96947036,47,"C",20,,""
2018,119542700,96613704,44,"C",20,,""
2018,119542970,96613932,14,"C",13,,""
2018,119542985,96613946,5,"C",26,,""
2018,119543174,96614106,5,"C",20,,""
2018,119543268,96614188,45,"C",18,,""
2018,119543310,96614228,16,"C",13,,""
2018,119543413,96614318,45,"C",8,,""
2018,119543441,96614350,16,"C",41,,""
2018,119543483,96614382,47,"C",20,,""
2018,119544395,96615218,49,"C",3,,"F"
2018,119544425,96615250,45,"C",23,,""
2018,119544476,96615293,45,"C",20,,""
2018,119544521,96615341,21,"C",12,,""
2018,119544546,96615363,47,"C",24,,""
2018,119544900,96615658,14,"C",20,,""
2018,119544969,96615725,47,"C",11,,""
2018,119545064,96615813,5,"C",18,,""
2018,118251377,95492284,45,"C",23,,""
2018,118251402,95492305,51,"C",20,,""
2018,118251558,95492436,36,"C",13,,""
2018,118251607,95492480,16,"C",18,,""
2018,118251611,95492480,35,"C",18,,""
2018,118251867,95492680,44,"C",13,,""
2018,118251884,95492698,51,"C",15,,""
2018,118252339,95493067,46,"C",13,,""
2018,118252615,95493285,16,"C",20,,""
2018,118252692,95493350,44,"C",20,,""
2018,118254339,95494740,47,"C",20,,""
2018,118254439,95494819,47,"C",5,,""
2018,118254456,95494832,51,"C",20,,""
2018,118254526,95494905,16,"C",13,,""
2018,118254529,95494905,35,"C",13,,""
2018,119931352,96946036,47,"C",25,,""
2018,119931381,96946066,45,"C",20,,""
2018,119931520,96946170,27,"C",20,,""
2018,119931545,96946195,47,"C",20,,""
2018,119931621,96946264,16,"C",13,,""
2018,119931688,96946323,23,"C",8,,""
2018,119931723,96946361,23,"C",8,,""
2018,119931721,96946361,35,"C",13,,""
2018,119931719,96946361,16,"C",13,,""
2018,119931852,96946462,5,"C",25,,""
2018,119932123,96946706,16,"C",13,,""
2018,119932208,96946773,14,"C",13,,""
2018,119932278,96946835,63,"C",20,,""
2018,119932303,96946857,35,"C",13,,""
2018,119932300,96946857,16,"C",13,,""
2018,119932349,96946892,35,"C",13,,""
2018,119932347,96946892,16,"C",13,,""
