"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,120548739,10,,,132906699
2018,120548003,10,,,132905733
2018,100160276,11,5,,106138057
2018,100160276,10,,,106138053
2018,100160656,9,0,,106138536
2018,100160734,20,174,,106138654
2018,100161150,61,100,,106139149
2018,100161155,61,100,17-JAN-18,106139155
2018,100161369,6,200,,106139410
2018,100162305,20,10,,106140667
2018,100162305,63,10,,106140669
2018,100855879,38,100,,107030599
2018,100855949,52,0,,107030677
2018,100855951,50,35,,107030682
2018,100856017,6,40,,107030754
2018,100856090,63,1000,,107030851
2018,100856145,4,295,,107030922
2018,100856179,31,1000,,107030983
2018,101889549,37,10000,23-APR-18,108360168
2018,101889589,33,1,,108360218
2018,101889677,63,1,,108360311
2018,101889949,63,40,,108360668
2018,101889954,63,40,08-APR-18,108360679
2018,101890034,42,45,,108360769
2018,100855653,11,1,,107030314
2018,100855653,10,,,107030311
2018,100856221,52,0,,107031048
2018,100162193,38,200,,106140525
2018,100162271,63,1,,106140623
2018,100162407,38,50,,106140793
2018,100162400,36,300,,106140786
2018,100162666,51,0,,106141105
2018,100855827,16,30,,107030530
2018,100855831,16,30,30-JAN-18,107030537
2018,100856098,60,99,,107030855
2018,100858012,50,48,,107033426
2018,100857936,6,48,,107033331
2018,100858003,63,1520,,107033419
2018,100858070,10,,,107033499
2018,100858070,11,1,,107033501
2018,100160221,7,350,,106137995
2018,100160263,11,10,,106138052
2018,100160660,61,850,,106138542
2018,100855765,8,6,,107030461
2018,100855809,38,200,,107030511
2018,100855915,35,1,,107030633
2018,100855982,10,,,107030709
2018,100856042,20,180,,107030793
2018,100856103,10,,,107030858
2018,100858998,9,0,,107034585
2018,100859001,9,0,05-JAN-18,107034588
2018,100858998,20,663,,107034583
2018,100859001,20,663,05-JAN-18,107034587
2018,100859016,10,,,107034602
2018,100857961,10,,,107033368
2018,100858022,10,,,107033435
2018,100858022,11,1,,107033436
2018,100858061,63,265,,107033493
2018,100858061,6,200,,107033490
2018,100859042,27,1,,107034643
2018,100859042,6,1,,107034633
2018,100859042,26,1,,107034638
2018,100859042,17,1,,107034634
2018,100860547,19,8,,107036655
2018,101888280,9,0,,108358633
2018,101888337,63,3429,,108358697
2018,101888395,11,20,,108358759
2018,101888395,10,,,108358753
2018,101888507,50,75,,108358886
2018,101888507,54,150,,108358884
2018,101888507,38,200,,108358883
2018,101889216,8,28,,108359747
2018,101889389,54,1000,,108359997
2018,100162640,63,1,,106141070
2018,100162640,10,,,106141066
2018,100160661,8,28,,106138544
2018,100160699,57,200,,106138601
2018,100160700,30,3000,,106138603
2018,100161380,63,595,,106139427
2018,100162167,38,1,,106140488
2018,100162188,36,100,,106140515
2018,100162282,51,0,,106140636
2018,100162299,51,0,,106140657
2018,100855595,3,500,,107030242
2018,100855645,20,62,,107030296
2018,100855675,16,500,,107030345
2018,100855695,64,4000,,107030367
2018,100855699,64,4000,17-FEB-18,107030371
2018,100855818,22,0,,107030521
2018,100857938,19,68,,107033335
2018,100857940,19,68,16-JAN-18,107033339
2018,100859008,3,10000,,107034596
2018,100859012,3,10000,12-JAN-18,107034599
2018,100859043,8,100,,107034644
2018,100859043,7,185,,107034642
2018,100859043,16,190,,107034639
2018,100859043,63,50,,107034646
2018,100165162,13,1,,106144064
2018,101889251,10,,,108359799
2018,101889251,11,1,,108359800
2018,101889298,36,20,,108359865
2018,101889298,26,5,,108359866
2018,101889396,38,200,,108360007
2018,101889396,47,0,,108360010
2018,101889624,7,50,,108360249
2018,101889624,20,30,,108360250
2018,101889624,63,1170,,108360253
2018,101889654,20,1,,108360290
2018,101889701,10,,,108360343
2018,100161154,8,24,,106139152
2018,100161175,6,10,,106139179
2018,100161178,6,10,23-JAN-18,106139181
2018,100162197,11,16,,106140533
2018,100162197,10,,,106140531
2018,100162317,51,0,,106140680
2018,100162328,38,20,,106140703
2018,100855489,35,200,,107030121
2018,100855529,11,10,,107030167
2018,100855488,31,200,,107030122
2018,100855500,54,240,,107030134
2018,100855540,28,5335,,107030163
2018,100855540,38,500,,107030174
2018,100855540,24,10000,,107030160
2018,100855540,8,100,,107030177
2018,100855540,36,3330,,107030171
2018,100855540,63,5070,,107030179
2018,100855828,20,300,,107030533
2018,100856157,27,43,17-FEB-18,107030943
2018,100856151,27,43,,107030928
2018,100860564,3,500,21-JAN-18,107036678
2018,100860559,3,500,,107036673
2018,100160220,63,200,,106137992
2018,100160913,63,5000,,106138890
2018,100160909,3,501,18-JAN-18,106138885
2018,100160904,3,5500,,106138880
2018,100161171,6,1,18-JAN-18,106139173
2018,100161167,6,25,,106139168
2018,100855482,63,140,,107030118
