"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2018,5,117796829,10.39,1,11841965
2018,12,117796829,0.81,1,11841964
2018,12,110414565,0.554,1,10356293
2018,8,110414565,1,9,10356295
2018,12,110409843,0.3,1,10361328
2018,5,110419659,12.9,1,10351331
2018,3,110419659,0.3,1,10361339
2018,12,110472988,0.1,1,10360215
2018,12,110473001,28.9,1,10354699
2018,5,110474169,2.04,1,10360382
2018,8,110474169,0.14,1,10354913
2018,5,110482424,1,1,10354984
2018,5,110484493,3.07,1,10360436
2018,12,110480000,0.1,1,10364885
2018,5,110478073,1.3,1,10364915
2018,5,110480222,14.9,1,10354758
2018,5,110473042,3.3,1,10360227
2018,5,110478069,1,11,10364913
2018,12,110473232,0.01,1,10360276
2018,12,110473344,23.06,1,10360307
2018,16,110473344,20,9,10360308
2018,5,110473344,158,1,10354819
2018,12,110473355,1,11,10364970
2018,12,110484381,3.2,1,10354967
2018,5,110484381,2.45,1,10360411
2018,12,110482416,1,11,10354982
2018,12,110489480,10,5,10365091
2018,8,110414743,8,9,10361314
2018,5,110414927,1,9,10351339
2018,8,105388592,13,9,9409875
2018,12,105388592,0.013,1,9414702
2018,5,105388616,0.3,1,9409883
2018,5,105388617,19.2,1,9409884
2018,12,105388662,1,11,9409898
2018,5,105390565,1.59,1,9399191
2018,12,105390565,1,11,9409904
2018,12,105394468,0.18,1,9409907
2018,16,105394468,10,9,9409908
2018,5,105394510,0.58,1,9409915
2018,12,105394521,9.28,1,9414729
2018,5,105390604,1,11,9399198
2018,5,105394570,4,1,9414736
2018,5,105394597,0.5,1,9414737
2018,4,101888107,1,11,8785048
2018,12,101888107,1.72,1,8785046
2018,12,101888128,1,11,8785052
2018,5,101888660,1,1,8785151
2018,5,101889418,1.86,1,8785223
2018,5,105394501,1.59,1,9414726
2018,12,105388824,1,1,9409937
2018,12,105388839,1,11,9399216
2018,12,105395243,0.1,1,9414809
2018,2,105399241,3.5,1,9414821
2018,8,105399241,8,9,9399267
2018,5,105399241,2.5,1,9414822
2018,17,105399250,,,9409993
2018,5,105395407,0.6,1,9414830
2018,5,101890016,1,3,8785292
2018,5,101888308,9.5,1,8785083
2018,12,101888104,1,3,8785045
2018,5,101888104,1,3,8785047
2018,5,101888404,1,11,8785104
2018,12,101888404,1,11,8785102
2018,12,101888573,0.5,1,8785132
2018,12,102201520,0.97,1,8835215
2018,5,102201520,1.55,1,8835216
2018,12,102198162,1,11,8834685
2018,5,102200422,4,1,8835072
2018,5,102200668,8,1,8835107
2018,5,102201392,31,1,8835187
2018,12,102198232,0.03,1,8834699
2018,5,102198303,0.1,7,8834734
2018,5,102198303,4.2,1,8834733
2018,5,102198342,7.8,1,8834750
2018,12,102198342,15.3,1,8834749
2018,5,102198916,1.5,1,8834857
2018,5,102199619,1,1,8834975
2018,12,102199822,1,11,8834995
2018,16,102200901,12,9,8835133
2018,5,102200959,0.01,1,8835141
2018,12,102201230,7.5,1,8835179
2018,12,102201571,0.003,1,8835225
2018,5,102198338,1.5,1,8834748
2018,5,102198428,24.5,1,8834769
2018,8,102198509,61,9,8834781
2018,17,102198509,1,11,8834782
2018,16,102198509,2,9,8834780
2018,5,102199233,1.4,1,8834918
2018,5,102199302,0.5,1,8834934
2018,12,105388593,0.01,1,9409876
2018,5,105388593,0.01,1,9414703
2018,12,102198905,1.8,1,8834852
2018,12,102198923,1,11,8834858
2018,12,102199940,1,9,8835014
2018,12,102200256,1,9,8835053
2018,12,102200346,1,9,8835065
2018,12,102200581,1,9,8835097
2018,12,102201209,0.2,1,8835176
2018,5,102197652,1,11,8834565
2018,2,102197696,1,3,8834578
2018,12,102198219,0.77,1,8834694
2018,5,102198286,6.7,1,8834722
2018,12,102198912,48.48,1,8834856
2018,5,102199298,0.2,1,8834933
2018,5,102199426,1.1,1,8834951
2018,5,102199677,1,11,8834979
2018,12,102200433,6,1,8835074
2018,12,102201360,0.751,1,8835185
2018,5,102201360,1.573,1,8835186
2018,5,102197524,3.6,1,8834538
2018,5,102197540,0.13,1,8834540
2018,12,102200268,1,9,8835055
2018,5,102200569,10.85,1,8835095
2018,12,102201239,3.5,1,8835180
2018,12,102201445,0.001,1,8835197
2018,5,102201445,5.6,1,8835198
2018,5,102201564,16,1,8835221
2018,9,102197450,22,9,8834514
2018,5,102197450,1.8,1,8834516
2018,11,102197450,4,9,8834517
2018,5,102198652,1,1,8834797
2018,12,102199911,1,1,8835009
2018,12,102200539,1,9,8835087
2018,2,102200616,0.18,1,8835102
2018,5,102197830,36.26,1,8834618
2018,5,107268653,1,11,9810590
2018,5,107277266,1,11,9810592
2018,5,107268709,1,11,9805331
2018,5,102198842,1,1,8834841
2018,12,102198908,1,11,8834855
2018,5,102199488,0.5,1,8834958
2018,12,107277212,18,9,9810583
2018,5,102201549,0.6,1,8835220
2018,12,102201640,0.4,1,8835230
2018,5,107268652,1,11,9805320
2018,12,107268709,1,11,9813706
2018,5,107273342,12,1,9805334
2018,12,107268735,1.7,1,9805335
2018,12,107277351,0.001,1,9805336
2018,17,107273425,1,9,9813736
2018,5,107273425,0.5,1,9810634
2018,5,107279724,0.4,1,9805477
2018,5,107277618,2.6,1,9805365
2018,5,107268964,4,1,9810651
2018,5,107268991,37,1,9813749
2018,17,107273686,,,9805383
2018,12,107279286,18.02,1,9813771
2018,5,107278009,2,1,9810674
2018,4,107273890,0.89,1,9805412
2018,5,107274045,9.6,1,9810702
2018,12,107279512,0.1,1,9805437
2018,12,107274104,1,11,9813812
2018,8,107279586,3,9,9805450
2018,12,107279600,1,11,9813822
2018,5,107274158,1,11,9813821
2018,5,107274158,3.59,1,9810723
2018,12,107274158,1.02,1,9810722
2018,18,107278386,,,9810727
2018,12,107278386,1.59,1,9810725
2018,2,107278386,1.46,1,9810726
2018,11,107278425,5.3,1,9813839
2018,5,107278425,3.6,1,9813840
2018,5,107278433,4.5,1,9805464
2018,5,107278442,0.81,1,9810741
2018,12,107284244,6.4,1,9805468
2018,11,107279694,1,9,9813847
2018,12,107278472,0.38,3,9813848
2018,5,107284272,27,1,9813853
2018,16,107279740,1,9,9810748
2018,5,107278536,1,9,9813858
2018,5,107284384,4,1,9805489
2018,16,105388681,3,9,9409900
2018,12,105388805,0.25,1,9414747
2018,5,105388838,6.4,1,9414754
2018,17,105390718,1,1,9409944
2018,5,105394745,1,1,9414758
2018,5,105388970,8,1,9409962
2018,12,105388989,1,11,9409967
2018,12,105390819,14,1,9409968
2018,12,105394958,1.6,1,9414782
2018,5,105394958,25.5,1,9414783
2018,12,105390833,13.5,1,9399238
2018,5,105390854,21.8,1,9409978
2018,12,105395012,1.4,1,9414797
2018,5,105395280,36.7,1,9414814
2018,5,105395395,47.4,1,9414827
2018,1,105399313,1,9,9409995
2018,5,105395466,12.21,1,9414836
2018,12,105399329,1.76,1,9409997
2018,4,105399329,10,5,9414838
2018,5,106055681,1,11,9572776
2018,12,106055688,1,1,9577779
2018,5,106060016,2426.1,1,9577845
2018,12,105390488,0.02,1,9414704
2018,5,105388604,1,11,9409878
2018,12,105390715,1,11,9399218
2018,5,105390788,19,1,9399232
2018,12,105394971,1.04,1,9414785
2018,12,105395030,0.5,1,9414801
2018,12,106059451,1,11,9577770
2018,12,108133812,0.8,1,9949127
2018,12,108133797,25.493,1,9944529
2018,5,104625472,4,1,9264797
2018,5,104625856,0.33,1,9259929
2018,12,108141158,0.49,1,9944532
2018,5,108141161,4,9,9952152
2018,8,108137613,4,9,9952167
2018,5,104617606,13.1,1,9259890
2018,5,104617908,2,10,9259922
2018,5,104617908,74.801,1,9259921
2018,12,104617909,497,1,9259923
2018,5,104621179,1,9,9259935
2018,16,104621179,1,9,9259934
2018,12,108133805,1,9,9949122
2018,5,108133822,22,1,9949128
2018,11,108133822,20,9,9952154
2018,12,108137593,1,11,9949129
2018,12,108137591,1.09,1,9952158
2018,12,110414676,0.307,1,10351303
2018,14,110414676,0.168,1,10351304
2018,12,110414753,1,11,10351314
2018,12,110409938,1,9,10361345
2018,5,110409942,1,1,10361347
2018,12,110414948,1,9,10361348
2018,5,110414968,6,1,10351340
2018,5,110415031,0.7,1,10351344
2018,5,110410039,12,1,10356365
2018,5,110419798,0.4,1,10351347
2018,5,110410071,24.9,1,10351349
2018,12,110410103,116,1,10351352
2018,12,110415280,14.5,1,10351361
2018,5,110415280,1.4,1,10351362
2018,18,110415280,,,10351363
2018,12,106059440,1.7,1,9572764
2018,5,106055731,4,1,9572781
2018,17,106059544,1,1,9577788
2018,16,106059544,122.25,9,9577787
2018,4,106064432,254,1,9582669
2018,5,106059757,1,1,9582672
2018,12,117443016,0.04,1,11772851
2018,5,117443016,8.87,1,11772850
2018,12,106055661,2.15,1,9572769
2018,12,106055661,1,11,9572771
2018,5,106055661,2,1,9572770
2018,5,106059552,3.5,1,9577790
2018,5,106055758,4.5,1,9582649
2018,5,106064396,1.2,1,9582663
2018,5,106064397,0.6,1,9582664
2018,12,106059686,2.82,1,9582667
2018,5,106059697,1,1,9577816
2018,12,106059802,1.02,1,9572819
2018,12,106055951,0.5,1,9582680
2018,4,106055951,0.4,1,9582679
2018,12,106055673,1,11,9582628
2018,16,107278387,2,9,9810728
2018,5,107278408,2.3,3,9810734
2018,12,107280619,5.6,1,9813978
2018,5,107285256,46,1,9805619
2018,5,107280343,16,1,9813909
2018,12,107284969,1,3,9805550
2018,12,107285025,1.07,1,9805562
2018,12,107285026,0.12,1,9813939
2018,16,107280431,40,9,9810828
2018,12,107280431,46.03,1,9810827
2018,12,107289217,0.01,1,9810835
2018,5,107285058,6.3,1,9813945
2018,5,107280482,16,1,9810838
2018,5,107280507,0.4,1,9813952
2018,5,107289255,1,11,9813951
2018,5,107289273,,,9805595
2018,12,104625553,0.02,1,9264817
2018,5,104625617,1.2,1,9264835
2018,12,104617683,3.51,1,9264806
2018,16,104617683,7,9,9264807
2018,12,104625554,1,11,9269757
2018,12,104617714,1,11,9264818
2018,12,104625564,0.54,1,9269759
2018,12,104625606,1,3,9264832
2018,2,104617851,14,1,9264851
2018,5,104617904,0.002,1,9259919
2018,5,104621019,12,1,9259909
2018,12,104617844,1,1,9264850
2018,12,104625796,1,11,9264856
2018,12,104621142,2.4,1,9269799
2018,5,105390580,0.57,1,9399194
2018,5,105388729,3.4,1,9414734
2018,5,105394721,1.2,1,9399217
2018,5,105389028,1,11,9399241
2018,5,105388957,61,1,9414771
2018,12,105394972,0.97,1,9409972
2018,5,105389065,1,1,9409980
2018,5,105395204,1.6,1,9399260
2018,12,105391009,1500.5,1,9409991
2018,5,105391009,1,11,9409990
2018,8,105388625,5,9,9414714
2018,5,105388625,27.1,1,9414713
2018,18,105394417,,,9399185
2018,4,105394417,1.5,1,9409891
2018,12,105394417,91.7,1,9409890
2018,11,105394500,96,1,9409913
2018,18,105394500,,,9414725
2018,12,105394500,1,11,9409912
2018,5,106064243,45,1,9582623
2018,12,106064243,0.23,1,9577764
2018,12,106064264,1,11,9582625
2018,12,106064377,3.09,1,9577806
2018,5,106056028,0.5,1,9577840
2018,12,106056095,1,7,9572826
2018,12,106060207,0.5,1,9577865
2018,12,104625453,0.1,1,9264791
2018,5,104625453,0.4,1,9269739
2018,8,104617622,3,9,9269743
2018,12,104617622,2,9,9259892
2018,12,104617701,1,1,9269755
2018,5,104617701,1,1,9264814
2018,12,104625593,1,11,9264828
2018,5,104625593,37.74,1,9264827
2018,5,104625602,57.4,1,9269771
2018,12,104625602,36,9,9264830
2018,13,104617919,1,11,9259926
2018,5,104617926,17.25,1,9269801
2018,5,105388880,1,1,9414759
2018,11,105388937,17,9,9409957
2018,12,106059456,0.21,1,9577773
2018,5,106055750,1,11,9572787
2018,12,106059801,0.02,1,9577828
2018,12,106060010,0.5,1,9577844
2018,5,107278951,1.28,1,9810788
2018,5,110409946,2,1,10356353
2018,12,110419803,2,1,10361364
2018,17,110419840,,,10351353
2018,5,110410315,0.25,1,10356391
2018,5,110410322,1,11,10356393
2018,12,110414580,1,7,10361291
2018,5,107268725,2.1,1,9813713
2018,5,107273627,6,1,9810667
2018,12,107278031,1,11,9805407
2018,16,107278031,58,9,9813776
2018,2,107279354,1,1,9813785
2018,17,107278126,15.96,1,9810685
2018,12,107278144,0.5,1,9810689
2018,12,107285024,1,11,9810826
2018,4,107285045,0.001,1,9805570
2018,8,107285050,28,9,9805573
2018,5,107280492,0.6,1,9805582
2018,5,107285229,0.58,1,9810861
2018,5,107280854,1,3,9805632
2018,12,107280884,6,9,9810873
2018,5,107278404,1,11,9810732
2018,5,107278418,1,11,9813834
2018,17,107278649,,,9810772
2018,5,107284607,8,1,9805501
2018,5,107280182,3.31,1,9805524
2018,12,106059616,26.93,1,9577807
2018,2,106059789,0.86,1,9577824
2018,5,106055940,1.4,1,9572820
2018,12,106059969,1,11,9577839
2018,2,106056144,5.3,1,9572833
2018,5,106056144,4.09,1,9572832
2018,5,107268671,1,11,9805324
2018,5,107273318,1,11,9805329
2018,5,107273318,1.11,1,9805330
2018,2,107277334,1,11,9805332
2018,5,107277334,3.42,1,9810615
2018,5,107268816,0.25,1,9805350
2018,5,107273418,1,1,9805352
2018,5,107277653,5,4,9805370
2018,12,107277681,1,9,9810654
2018,12,107273842,0.7,1,9813770
2018,12,107273844,0.18,1,9805392
2018,5,107273844,3.02,1,9805393
2018,12,107278000,,,9805394
2018,12,107273857,,,9805398
2018,5,107273918,0.01,1,9805413
2018,5,107279440,1,9,9805418
2018,12,107278170,1.09,1,9810693
2018,16,107278170,5,9,9810692
2018,5,107278170,9.33,1,9810694
2018,12,107279108,1,11,9805539
2018,12,107279164,1,11,9813924
2018,5,107289265,3,1,9813958
2018,5,107280531,,,9813962
2018,12,107289307,1,11,9805606
2018,5,107280696,1,11,9805618
2018,12,107289424,0.03,1,9810864
2018,16,107289424,26,9,9813982
2018,5,107280743,14.7,1,9813987
2018,5,107285409,0.6,1,9805640
2018,5,107285414,10.1,1,9805641
2018,5,107274059,8.11,1,9805439
2018,5,107278338,1,11,9813815
2018,5,107279667,1,11,9805466
2018,8,107278962,25,9,9805519
2018,5,107278962,5,4,9810789
2018,1,107284843,14.22,1,9805530
2018,5,107280240,1,11,9810796
2018,5,107274191,2,1,9813833
2018,4,107279004,9,1,9805529
2018,5,107277166,3,1,9813674
2018,12,107268597,1.018,1,9813688
