"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2018,111053782,114395641,26,33652792
2018,111053929,114387883,19,33652836
2018,111054130,114390727,24,33646929
2018,111056961,114390727,24,33642024
2018,111061411,114396280,3,33646938
2018,111054233,114396304,3,33642054
2018,111057120,114396335,3,33642062
2018,111056206,114390228,5,33646816
2018,111056215,114387475,26,33641848
2018,111056215,114387473,1,33641847
2018,111053632,114387575,25,33652754
2018,111060916,114395476,25,33641872
2018,111053632,114395476,3,33652755
2018,111060916,114387575,3,33652756
2018,111053645,114390332,13,33652764
2018,111056444,114395634,3,33641904
2018,111053790,114395654,3,33652793
2018,111056487,114387729,1,33641920
2018,111056486,114387729,1,33652800
2018,111056484,114387729,1,33646869
2018,111056679,114395867,1,33641982
2018,111056679,114390564,1,33641981
2018,111061255,114390637,20,33652852
2018,111054024,114390637,21,33646913
2018,111054199,114388131,3,33642041
2018,111057049,114396269,19,33642044
2018,111054252,114390823,3,33652884
2018,111060876,114387523,1,33646830
2018,111060879,114387528,20,33646832
2018,111056251,114387530,22,33641861
2018,111060879,114387530,25,33652739
2018,111056251,114387528,25,33646833
2018,111053651,114395499,1,33652767
2018,111060992,114395566,18,33652779
2018,111060992,114395567,18,33646857
2018,111053794,114390464,16,33641912
2018,111053794,114387713,21,33641913
2018,111056462,114387713,16,33641910
2018,111056462,114390464,16,33641909
2018,111053855,114390505,17,33652820
2018,111056664,114387874,1,33641973
2018,111056664,114390553,1,33641975
2018,111056664,114395851,1,33641976
2018,111061151,114387880,3,33646900
2018,111056745,114387921,15,33646904
2018,111056978,114396180,26,33642030
2018,111056984,114390743,16,33646931
2018,111060844,114395397,1,33646818
2018,111060870,114387513,23,33646823
2018,111056356,114395535,9,33646855
2018,111061112,114390523,17,33641962
2018,111056677,114395866,1,33652841
2018,111061256,114390639,16,33652853
2018,111056850,114396061,19,33646914
2018,111054214,114388145,9,33652881
2018,124390496,127877442,15,38449615
2018,124390496,127874726,15,38453220
2018,124390645,127880528,5,38453264
2018,124394135,127880528,5,38444514
2018,124390793,127877772,26,38444546
2018,111056197,114395375,3,33641845
2018,111053539,114387471,24,33652729
2018,111060849,114390248,20,33641853
2018,111053575,114387512,9,33646824
2018,111056246,114390270,24,33646826
2018,111056271,114390290,16,33646836
2018,111060894,114390290,16,33646837
2018,111060895,114387546,25,33652743
2018,111060895,114395446,5,33646838
2018,111056276,114395446,25,33646839
2018,111056276,114387546,17,33646840
2018,111056283,114395454,18,33641868
2018,110230683,113553128,3,33362622
2018,110226222,113558193,3,33371404
2018,110226329,113553442,3,33362715
2018,110231125,113553549,1,33367342
2018,110226473,113562579,3,33371476
2018,110231299,113562598,3,33367377
2018,110225025,113562604,14,33367382
2018,110231656,113564031,3,33367402
2018,110226047,113557998,17,33367220
2018,110230752,113562170,18,33367263
2018,110230750,113562170,18,33371377
2018,110226208,113558176,21,33362659
2018,110226266,113562295,3,33371417
2018,110226425,113558402,16,33371470
2018,110225015,113562595,3,33367374
2018,110226549,113562649,14,33367387
2018,110231447,113558525,1,33362814
2018,110231447,113563837,1,33362815
2018,110231795,113568728,1,33362876
2018,110224478,113562044,3,33367225
2018,110226068,113558032,16,33371350
2018,110226086,113558055,3,33362615
2018,110224652,113558175,5,33371401
2018,110230838,113558175,5,33367295
2018,110230991,113553422,1,33371438
2018,110224971,113553661,1,33367365
2018,110231383,113558496,24,33362808
2018,110226556,113563813,21,33362812
2018,110231599,113562772,18,33362837
2018,110225223,113564055,3,33371513
2018,110230580,113562028,19,33362598
2018,110230579,113562028,19,33362597
2018,110224464,113562028,19,33371342
2018,110226102,113553114,16,33367239
2018,110226143,113553164,24,33362632
2018,110224580,113553184,1,33371379
2018,110224580,113553185,1,33367262
2018,110226252,113558223,3,33371407
2018,110230895,113562282,3,33362677
2018,110230956,113562338,21,33371426
2018,110226422,113553611,24,33367352
2018,110231361,113563756,19,33362804
2018,110231607,113563976,3,33362839
2018,110226668,113558630,18,33362840
2018,110226684,113562781,1,33362850
2018,110226684,113564009,24,33371510
2018,110226684,113558643,1,33371512
2018,110226684,113564008,1,33362849
2018,110226684,113562780,24,33371511
2018,110225211,113558656,24,33367404
2018,110225234,113564077,21,33371515
2018,110231700,113564093,18,33367407
2018,110225243,113564093,18,33362860
2018,110230587,113553042,21,33362601
2018,110226189,113562223,9,33371393
2018,110226186,113562223,16,33367284
2018,110226305,113558273,19,33371431
2018,110224800,113558301,19,33367313
2018,110225014,113562594,19,33367373
2018,110226533,113558497,16,33362807
2018,110225141,113562716,1,33371501
2018,110231522,113562716,18,33371502
2018,110231944,113562964,19,33371535
2018,110230881,113562277,3,33362670
2018,110226340,113553475,20,33371445
2018,110231245,113562561,16,33362775
2018,110226469,113553673,3,33371473
2018,110231673,113558670,21,33367405
2018,110226751,113562848,1,33367413
2018,110231781,113562869,19,33362873
2018,110224504,113553078,15,33362611
2018,110226079,113558044,14,33371355
2018,110226079,113562081,14,33371354
2018,110226081,113558047,3,33362613
2018,110226105,113562113,3,33362617
2018,110230538,113557968,21,33362579
2018,110230749,113562165,9,33367260
2018,110226033,113557988,19,33367217
2018,110226077,113562078,20,33371353
2018,110226108,113553116,3,33367242
2018,110230709,113562141,3,33367251
2018,110224559,113553146,1,33367252
2018,110230903,113562287,3,33371412
2018,110230905,113562287,25,33362682
2018,110230903,113562288,25,33362681
2018,110230905,113562288,3,33362683
2018,110226312,113553408,19,33371436
2018,110226458,113558423,3,33362774
2018,110231267,113553682,15,33371475
2018,110231266,113553682,3,33362777
2018,110225004,113553697,15,33367369
2018,110226511,113558479,17,33362794
2018,110231560,113562748,19,33362833
2018,110226753,113562850,1,33362866
2018,110231951,113568819,17,33362896
2018,110226001,113552979,1,33362577
2018,110230650,113558048,14,33362614
2018,110226330,113553443,1,33371442
2018,110231014,113553445,3,33371444
2018,110224820,113562390,24,33367314
2018,110231052,113558327,3,33367325
2018,110231050,113558327,25,33367324
2018,110231050,113558326,3,33367323
2018,110231052,113558326,25,33362727
2018,110231091,113558350,3,33371457
2018,110231219,113553636,15,33362765
2018,110231690,113564081,3,33371516
2018,110231756,113564153,21,33371523
2018,110225416,113568843,3,33371538
2018,110224600,113558138,3,33371385
2018,110224600,113553202,18,33367272
2018,110226182,113562213,12,33362644
2018,110230946,113553387,1,33362689
2018,110224941,113553631,1,33362763
2018,110224950,113553637,3,33367359
2018,110224951,113553644,5,33371471
2018,110226492,113558469,3,33371483
2018,110225160,113562744,1,33371503
2018,110226735,113564111,24,33371521
2018,113666138,117011878,1,34510145
2018,113653216,117015633,1,34510146
2018,113653217,117015635,3,34510876
2018,113659093,117011905,3,34520284
2018,116616589,119945286,1,35545405
2018,116606827,119945286,1,35540434
2018,116616588,119945286,1,35535451
2018,116611854,119950183,3,35535466
2018,116616745,119940619,3,35545438
2018,116616745,119950278,25,35535522
2018,116616746,119950278,3,35535524
2018,116616746,119940619,25,35545439
2018,116612152,119940791,3,35535589
2018,116607181,119945646,1,35535594
2018,116616901,119945674,16,35545478
2018,116616901,119940835,24,35540532
2018,116607456,119945933,6,35535643
2018,112577977,115951571,19,34176829
2018,112578231,115947352,15,34180625
2018,112573723,115944453,19,34176911
2018,112582447,115947451,18,34176924
2018,111053833,114387767,1,33652811
2018,111053893,114395791,1,33646894
2018,111054031,114390645,1,33652854
2018,111056849,114396062,21,33642009
2018,111054100,114396128,16,33642016
2018,111056960,114388072,3,33642023
