"DATA_YEAR","AGENCY_ID","INCIDENT_ID","NIBRS_MONTH_ID","CARGO_THEFT_FLAG","SUBMISSION_DATE","INCIDENT_DATE","REPORT_DATE_FLAG","INCIDENT_HOUR","CLEARED_EXCEPT_ID","CLEARED_EXCEPT_DATE","INCIDENT_STATUS","DATA_HOME","ORIG_FORMAT","DID"
2018,9460,106124948,7878238,"N",13-MAR-19,18-JAN-18,"",19,6,,0,"C","F",37285048
2018,9460,106127035,7878238,"N",13-MAR-19,28-JAN-18,"",11,6,,0,"C","F",37288097
2018,9460,106124950,7878238,"N",13-MAR-19,25-JAN-18,"",8,6,,0,"C","F",37288098
2018,9460,106124952,7878238,"N",13-MAR-19,24-JAN-18,"",7,6,,0,"C","F",37288099
2018,9460,106124953,8722363,"",13-MAR-19,04-FEB-18,"",3,6,,0,"C","F",37288101
2018,9460,106124954,8722363,"N",13-MAR-19,13-FEB-18,"",9,6,,0,"C","F",37285052
2018,9460,106127037,8722363,"N",13-MAR-19,19-FEB-18,"",9,6,,0,"C","F",37285055
2018,9460,106131773,8722363,"",13-MAR-19,12-FEB-18,"",13,6,,0,"C","F",37288105
2018,9460,106131778,8722363,"N",13-MAR-19,14-FEB-18,"",19,6,,0,"C","F",37285054
2018,9460,106124958,8722363,"N",13-MAR-19,26-FEB-18,"",9,6,,0,"C","F",37288111
2018,9460,106124961,8722363,"N",13-MAR-19,23-FEB-18,"",6,6,,0,"C","F",37288112
2018,9460,106124962,8722363,"",13-MAR-19,28-FEB-18,"",21,6,,0,"C","F",37288115
2018,9460,106124964,8722363,"",13-MAR-19,28-FEB-18,"",12,6,,0,"C","F",37288116
2018,9460,106131786,8722363,"",13-MAR-19,26-FEB-18,"",20,6,,0,"C","F",37291786
2018,9460,106131787,8722364,"",13-MAR-19,09-MAR-18,"",10,6,,0,"C","F",37285068
2018,9460,106124978,8722364,"",13-MAR-19,31-MAR-18,"",22,6,,0,"C","F",37291797
2018,9460,106127052,8722364,"N",13-MAR-19,20-MAR-18,"",10,6,,0,"C","F",37291795
2018,9460,106124979,8722364,"",13-MAR-19,30-MAR-18,"",22,6,,0,"C","F",37285079
2018,9460,106131802,8722364,"",13-MAR-19,23-MAR-18,"",21,6,,0,"C","F",37291794
2018,9460,106124980,8722365,"N",13-MAR-19,02-APR-18,"",10,6,,0,"C","F",37291799
2018,9460,106127053,8722365,"N",13-MAR-19,06-APR-18,"",9,6,,0,"C","F",37285081
2018,9460,106131803,8722365,"",13-MAR-19,07-APR-18,"",21,6,,0,"C","F",37285083
2018,9460,106124982,8722365,"",13-MAR-19,08-APR-18,"",2,6,,0,"C","F",37288134
2018,9460,106127058,8722365,"",13-MAR-19,14-APR-18,"",20,6,,0,"C","F",37291801
2018,9460,106127059,8722365,"",13-MAR-19,09-APR-18,"",10,6,,0,"C","F",37288135
2018,9460,106124985,8722365,"",13-MAR-19,11-APR-18,"",15,6,,0,"C","F",37288137
2018,9460,106131812,8722365,"",13-MAR-19,18-APR-18,"",21,6,,0,"C","F",37288141
2018,9460,106131813,8722365,"",13-MAR-19,16-APR-18,"",8,6,,0,"C","F",37288140
2018,9460,106124991,8722365,"",13-MAR-19,29-APR-18,"",19,6,,0,"C","F",37288144
2018,9460,106127066,8722365,"",13-MAR-19,28-APR-18,"",23,6,,0,"C","F",37288145
2018,9460,106131816,8722365,"N",13-MAR-19,28-APR-18,"",21,6,,0,"C","F",37288142
2018,9460,106124994,8720695,"N",13-MAR-19,09-MAY-18,"",22,6,,0,"C","F",37285096
2018,9460,106131820,8720695,"",13-MAR-19,08-MAY-18,"",19,6,,0,"C","F",37285094
2018,9460,106124996,8720695,"N",13-MAR-19,15-MAY-18,"",17,6,,0,"C","F",37288155
2018,9460,106131831,8720695,"N",13-MAR-19,18-MAY-18,"",9,6,,0,"C","F",37291818
2018,9460,106124998,8720695,"N",13-MAR-19,21-MAY-18,"",15,6,,0,"C","F",37288159
2018,9460,106131834,8720695,"N",13-MAR-19,16-MAY-18,"",19,6,,0,"C","F",37288156
2018,9460,106131844,8720695,"",13-MAR-19,28-MAY-18,"",14,6,,0,"C","F",37285104
2018,9460,106125004,8720696,"N",13-MAR-19,01-JUN-18,"",17,6,,0,"C","F",37288167
2018,9460,106125005,8720695,"",13-MAR-19,28-MAY-18,"",21,6,,0,"C","F",37288165
2018,9460,106125009,8720696,"",13-MAR-19,11-JUN-18,"",19,6,,0,"C","F",37288171
2018,9460,106131850,8720696,"",13-MAR-19,17-JUN-18,"",22,6,,0,"C","F",37288175
2018,9460,106127085,8720696,"",13-MAR-19,20-JUN-18,"",10,6,,0,"C","F",37285118
2018,9460,106125012,8720696,"",13-MAR-19,09-JUN-18,"",11,6,,0,"C","F",37291836
2018,9460,106125013,8720696,"N",13-MAR-19,10-JUN-18,"",8,6,,0,"C","F",37291837
2018,9460,106125015,8720696,"N",13-MAR-19,10-JUN-18,"",20,6,,0,"C","F",37285111
2018,9460,106125016,8720696,"",13-MAR-19,18-JUN-18,"",17,6,,0,"C","F",37288174
2018,9460,106127091,8720696,"",13-MAR-19,15-JUN-18,"",16,6,,0,"C","F",37288172
2018,9460,106127097,8720696,"",13-MAR-19,23-JUN-18,"",11,6,,0,"C","F",37285121
2018,9460,106127096,8720696,"",13-MAR-19,23-JUN-18,"",18,6,,0,"C","F",37288179
2018,9460,106131859,8720696,"",13-MAR-19,30-JUN-18,"",18,6,,0,"C","F",37288183
2018,9460,106131861,8722366,"N",13-MAR-19,06-JUL-18,"",9,6,,0,"C","F",37288191
2018,9460,106131863,8722366,"",13-MAR-19,11-JUL-18,"",17,6,,0,"C","F",37291844
2018,9460,106131862,8720696,"N",13-MAR-19,27-JUN-18,"",17,6,,0,"C","F",37285125
2018,9460,106131865,8722366,"",13-MAR-19,01-JUL-18,"",0,6,,0,"C","F",37288187
2018,9460,106125022,8720696,"",13-MAR-19,30-JUN-18,"",11,6,,0,"C","F",37285127
2018,9460,106131868,8720696,"N",13-MAR-19,17-JUN-18,"",5,6,,0,"C","F",37285126
2018,9460,106131869,8720696,"",13-MAR-19,29-JUN-18,"",21,6,,0,"C","F",37288186
2018,9460,106131870,8722366,"",13-MAR-19,15-JUL-18,"",19,6,,0,"C","F",37285131
