"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2018,7829129,9205,1,2018,"I",03-JAN-01,"Y","F","C","2018_01_MN0250800_NIBRS",16699076,0
2018,7877951,9205,2,2018,"I",03-FEB-02,"Y","F","C","2018_02_MN0250800_NIBRS",17854067,0
2018,7917423,9205,3,2018,"I",03-MAR-03,"Y","F","C","2018_03_MN0250800_NIBRS",37269168,0
2018,7950738,9205,4,2018,"I",03-APR-04,"Y","F","C","2018_04_MN0250800_NIBRS",19314102,0
2018,7972409,9205,5,2018,"I",03-MAY-05,"Y","F","C","2018_05_MN0250800_NIBRS",27695590,0
2018,7972412,9205,6,2018,"I",03-JUN-06,"Y","F","C","2018_06_MN0250800_NIBRS",24646741,0
2018,8132435,9205,7,2018,"I",03-JUL-07,"Y","F","C","2018_07_MN0250800_NIBRS",37136783,0
2018,8270105,9205,8,2018,"I",03-AUG-08,"Y","F","C","2018_08_MN0250800_NIBRS",30335645,0
2018,8332758,9205,9,2018,"I",11-OCT-18,"Y","F","C","2018_09_MN0250800_NIBRS",37142026,0
2018,8427381,9205,10,2018,"I",16-JAN-19,"Y","F","C","2018_10_MN0250800_NIBRS",30343755,0
2018,8425695,9205,11,2018,"I",16-JAN-19,"Y","F","C","2018_11_MN0250800_NIBRS",37274093,0
2018,8427517,9205,12,2018,"I",16-JAN-19,"Y","F","C","2018_12_MN0250800_NIBRS",49484104,0
2018,7972404,9134,4,2018,"I",03-APR-04,"Y","F","C","2018_04_MN0070400_NIBRS",19314095,0
2018,7972407,9134,5,2018,"I",03-MAY-05,"Y","F","C","2018_05_MN0070400_NIBRS",26197350,0
2018,8138229,9134,6,2018,"I",03-JUN-06,"Y","F","C","2018_06_MN0070400_NIBRS",49483043,0
2018,8269327,9134,7,2018,"I",03-JUL-07,"Y","F","C","2018_07_MN0070400_NIBRS",30330893,0
2018,8332773,9134,8,2018,"I",11-OCT-18,"Y","F","C","2018_08_MN0070400_NIBRS",49479571,0
2018,8427146,9134,9,2018,"I",16-JAN-19,"Y","F","C","2018_09_MN0070400_NIBRS",30343752,0
