"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
91222018,9122,2018,"MN0030000","MN0030000","","N","N",,"I","BECKER","BECKER CO SO DETROIT LAKES","Becker","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",22039,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",19,20,39,2,19,21,0,0,01-JUN-16,01-FEB-17,01-JAN-18,01-JAN-18,01-JAN-18,01-JAN-18,"N","BECKER","Non-MSA","Y","Y","Y"
91232018,9123,2018,"MN0030100","MN0030100","","N","N",,"I","DETROIT LAKES","DETROIT LAKES PD","Detroit Lakes","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",9289,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",16,0,16,1,2,3,0,0,01-JUN-16,01-FEB-17,01-JAN-18,01-JAN-18,01-JAN-18,01-JAN-18,"N","BECKER","Non-MSA","Y","Y","Y"
91312018,9131,2018,"MN0070000","MN0070000","","N","N",,"I","BLUE EARTH","BLUE EARTH CO SO MANKATO","Blue Earth","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",14837,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",35,21,56,3,16,19,0,0,01-JUN-16,01-APR-18,01-APR-18,01-APR-18,01-APR-18,01-APR-18,"N","BLUE EARTH","Mankato, MN","Y","Y","Y"
91322018,9132,2018,"MN0070100","MN0070100","","N","N",,"I","MANKATO","MANKATO PD","Mankato","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",42606,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",44,1,45,13,7,20,0,0,01-JUN-16,01-APR-18,01-APR-18,01-APR-18,01-APR-18,01-APR-18,"N","BLUE EARTH","Mankato, MN","Y","Y","Y"
91332018,9133,2018,"MN0070200","MN0070200","","N","N",,"I","MAPLETON","MAPLETON PD","Mapleton","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",1696,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JUN-16,01-APR-18,01-APR-18,01-JUN-18,01-JUN-18,01-JUN-18,"N","BLUE EARTH","Mankato, MN","Y","Y","Y"
91342018,9134,2018,"MN0070400","MN0070400","","N","N",,"I","EAGLE LAKE","EAGLE LAKE PD","Eagle Lake","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",3129,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",2,0,2,1,0,1,0,0,01-JUN-16,01-APR-18,01-APR-18,01-JUN-18,01-JUN-18,01-JUN-18,"N","BLUE EARTH","Mankato, MN","Y","Y","Y"
91352018,9135,2018,"MN0070500","MN0070500","","N","N",,"I","LAKE CRYSTAL","LAKE CRYSTAL PD","Lake Crystal","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",2487,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JUN-16,01-APR-18,01-APR-18,01-APR-18,01-APR-18,01-APR-18,"N","BLUE EARTH","Mankato, MN","Y","Y","Y"
91452018,9145,2018,"MN0100000","MN0100000","","N","N",,"I","CARVER","CARVER CO SO CHASKA","Carver","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",76692,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",66,35,101,7,36,43,0,0,01-JUN-16,01-JUN-16,01-SEP-16,01-SEP-16,01-JAN-17,01-SEP-16,"N","CARVER","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91632018,9163,2018,"MN0150000","MN0150000","","N","N",,"I","CLEARWATER","CLEARWATER CO SO BAGLEY","Clearwater","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",6946,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",10,5,15,0,8,8,0,0,01-JUN-16,01-FEB-17,01-JAN-18,01-JAN-18,01-JAN-18,01-JAN-18,"N","CLEARWATER","Non-MSA","Y","Y","Y"
91872018,9187,2018,"MN0210000","MN0210000","","N","N",,"I","DOUGLAS","DOUGLAS CO SO ALEXANDRIA","Douglas","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",22458,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",30,24,54,5,20,25,0,0,01-JUN-16,01-OCT-18,01-OCT-18,01-OCT-18,01-AUG-19,01-OCT-18,"N","DOUGLAS","Non-MSA","Y","Y","Y"
